OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10,HOUSING10,POP10,Shape_Length,Shape_Area,Longitude,Latitude
6686,17,19,10900,7083,1.7019E+14,1,2,0.047229815,0.000100486,-88.43440283,39.93480029
6687,17,19,10700,2048,1.7019E+14,3,11,0.039513327,4.10391E-05,-87.99328839,40.08580869
6688,17,19,5300,1051,1.7019E+14,0,0,0.009127577,1.14975E-06,-88.2183503,40.13475658
6689,17,19,5300,1018,1.7019E+14,0,0,0.002968215,3.39874E-07,-88.22971155,40.13516932
6690,17,19,5300,1019,1.7019E+14,0,0,0.002098327,2.12494E-07,-88.23068793,40.13515594
6691,17,19,10604,1115,1.7019E+14,0,0,0.002521211,1.70381E-07,-88.18725256,40.14793052
6692,17,19,10604,2140,1.7019E+14,6,15,0.004801029,1.45015E-06,-88.36891886,40.11048666
6693,17,19,10900,4002,1.7019E+14,12,28,0.009130361,2.25293E-06,-88.2569228,39.9934602
6694,17,19,10601,1075,1.7019E+14,4,13,0.004032188,8.54279E-07,-88.41992572,40.19765077
6695,17,19,10603,1007,1.7019E+14,34,74,0.009511573,2.7907E-06,-88.36299894,40.20953175
6696,17,19,10204,5002,1.7019E+14,0,0,0.028654395,2.29529E-05,-88.17235532,40.31440369
6697,17,19,10700,2042,1.7019E+14,12,24,0.00582707,1.67339E-06,-87.95768916,40.11021721
6698,17,19,10700,2049,1.7019E+14,0,0,0.006127022,1.89511E-07,-87.99312291,40.07711537
6699,17,19,10800,1007,1.7019E+14,7,20,0.004440563,1.20724E-06,-87.95998659,40.03857729
6700,17,19,10800,1010,1.7019E+14,5,12,0.004399311,1.18866E-06,-87.96247161,40.03760929
6701,17,19,10800,1011,1.7019E+14,6,15,0.00439026,1.17966E-06,-87.96122637,40.03761494
6702,17,19,10800,1002,1.7019E+14,8,16,0.004382584,1.17843E-06,-87.95613818,40.03667758
6703,17,19,10800,1000,1.7019E+14,5,12,0.004391673,1.0775E-06,-87.95235359,40.03667067
6704,17,19,10800,4051,1.7019E+14,1,2,0.024123713,2.42283E-05,-87.97247872,40.03466118
6705,17,19,10800,1033,1.7019E+14,5,11,0.004368254,1.16957E-06,-87.95611009,40.03290395
6706,17,19,10800,4047,1.7019E+14,1,0,0.026189566,3.39125E-05,-87.94364598,40.03433311
6707,17,19,10800,1040,1.7019E+14,10,18,0.004521382,1.25229E-06,-87.95737693,40.03194989
6708,17,19,10604,2117,1.7019E+14,4,12,0.00395456,7.20378E-07,-88.43041469,40.10760547
6709,17,19,10604,2125,1.7019E+14,4,10,0.003689348,6.6876E-07,-88.42898466,40.10661633
